publication	clinical_trial_id
33986758	
33990375	
33995649	
33998145	
34001952	
34003781	
34006631	
34009544	
34011410	NCT04427527
34011489	
34011536	
34011631	
34013294	
34013527	
34016751	
34017141	
34019840	
34021002	
34021082	
34021235	
34023131	
34023170	
34025067	
34025103	
34025677	
34027414	
34029578	
34030495	
34031395	
34031415	
34031527	
34032633	
34034986	
34035113	
34036658	
34039647	NCT02501096
34043433	
34043437	
34049293	
34049975	
34059156	
34061826	
34065794	
34071259	
34074695	
34075163	
34077953	
34078380	NCT03985852
34078620	
34083417	
34083798	
34086382	
34090651	
34091777	
34093591	
34093848	
34094824	
34097784	
34099491	
34099673	
34099876	
34100683	
34100901	
34100949	
34101481	
34101617	
34103681	
34105999	
34106089	
34106685	
34107251	
34107299	
34108070	
34110925	NCT00085735
34112698	
34112709	
34113750	
34114951	
34117095	
34117481	
34117742	
34124783	
34127402	
34127480	
34127546	
34129824	
34131071	
34132573	
34142093	
34142094	
34144976	
34145028	
34145397	
34146471	
34147581	
34149989	
34150936	
34152638	
34160069	
34160808	
34161346	
34161764	
34163028	
34163866	
34167950	
34171262	
34171263	
34172518	
34174834	NCT03607617
34174969	
34178933	
34179821	
34179825	
34180950	
34183059	
34186431	
34187595	
34187852	
34188163	
34192548	
34193976	
34196168	
34199469	
34202272	
34204917	
34206543	
34207459	
34207599	
34210682	
34210975	
34214566	
34215491	
34215680	
34215862	
34220380	
34222745	
34224163	
34226613	
34226663	
34226688	
34230925	
34232571	
34234346	
34239102	
34239137	
34244307	
34244513	
34252956	
34253580	
34253596	
34253672	
34258583	
34258584	
34258619	
34261667	
34261797	
34261799	
34262645	
34266468	NCT04737031
34266889	
34267857	
34269581	
34272204	NCT02054741
34272369	
34272955	
34274004	
34277540	
34282330	
34283347	
34285063	
34285087	
34295327	
34295871	
34296197	
34298074	
34298159	
34298440	
34298710	
34301753	
34301793	
34303882	
34304249	
34308256	
34312180	
34312545	
34312556	NCT03233854
34314438	
34314700	
34320363	
34328530	
34329319	
34329586	
34331598	
34341547	
34341766	
34341887	
34343496	
34344411	
34346769	
34348154	
34348992	
34350656	
34353917	
34358469	
34358979	
34359696	
34369335	
34369454	
34371138	
34376580	
34381026	
34381049	
34383787	
34384221	
34388391	
34389744	
34391578	
34392779	
34392917	
34396987	
34400269	
34400795	
34408919	
34409521	
34411638	
34414281	
34417459	
34417750	
34420143	NCT02066181,NCT01522443
34428095	
34429372	
34429404	
34430349	
34432946	
34434191	
34446379	
34450029	
34452927	
34460030	
34462258	
34462276	
34464199	
34465585	
34465595	
34465885	
34469807	
34470757	
34470811	
34470822	
34473519	
34473697	
34484237	
34484688	
34486728	
34488203	
34489208	
34490203	
34491886	
34496019	
34503355	
34504503	
34510766	
34514417	
34515889	
34517535	
34518211	
34518212	
34518313	
34523614	
34526365	
34526717	
34529935	
34531250	NCT03971799
34532339	
34534465	
34539046	
34552244	
34556748	
34558842	
34559190	
34559988	
34560251	
34563227	NCT04867850
34565895	
34568832	
34568834	
34568836	
34572786	
34580445	
34582559	
34583979	
34590125	
34593636	
34593797	
34594005	
34594320	
34597583	
34597589	
34599002	
34599026	
34606456	
34607898	
34611289	
34613775	
34620250	NCT04406714
34622651	
34622930	
34625255	
34626075	
34635168	
34638434	
34641956	NCT02478931
34642094	
34642700	
34643507	
34645413	NCT04763915
34648021	
34648891	
34652432	
34653364	
34653367	
34654750	
34654806	
34657186	
34663668	
34666781	
34667258	
34671777	
34672684	
34673450	
34680266	
34686321	
34702753	
34706232	
34711608	
34712959	
34714329	
34714554	
34715924	
34717019	
34717616	NCT02355262
34722813	
34725151	
34725212	
34725484	
34726788	
34729557	
34731628	
34732890	
34734403	
34737198	
34737261	
34738088	
34741815	NCT02054741
34748857	
34750536	
34764492	
34766134	
34766650	
34769573	
34771465	
34776607	
34780973	
34784792	
34788094	
34788294	
34789550	
34792472	
34792571	
34795254	NCT02243579
34806028	
34811542	
34818047	
34818147	
34819122	
34824477	
34830797	
34839326	
34849458	
34850931	
34852220	
34859676	
34860667	
34861191	
34861697	
34863144	
34865703	
34872889	
34880115	
34882194	
34882963	
34885139	
34885245	
34887405	
34890551	
34895137	
34906407	
34911546	
34911965	
34919800	
34921160	
34944995	
34945755	
34952480	
34523821	
34910928	
34670847	
34917944	
34857594	
31207604	
32057315	
33218604	
33417833	
34224739	
34313775	
34642183	
34858725	
34873345	
34873347	
34879275	
34906443	
34919462	
34941392	
34944813	
34983646	
33419682	
33716169	
34232599	
34249474	
34499096	
34635506	
34777916	
34795032	
34931665	
34993496	
34663549	
34767455	
35006459	
35008431	
35010795	
35013779	
33568347	
30190784	
32162345	
32659784	
33548339	NCT00346164
33602870	
33687952	
34214188	
34253579	
34321288	
34331993	
34391888	
34432868	
34496240	
34644528	
34657147	
34673903	
34675938	
34687603	
34725504	
34753659	
34758319	
34837181	
34862501	
34864359	
34868010	
34879281	
34880124	
34910907	
34910918	
34920941	
34937938	
34951956	
34955356	
34983062	
35000890	
35010364	
35015683	
35017531	
35022313	
35022962	
35024897	
35033226	NCT02888743
35033853	
35039460	
35043110	
35044081	
35046946	
35048125	
35055453	
35058328	
35063072	
35072744	
35074047	
35075200	
35081345	
35105711	
33741711	
34431670	
34547295	
34290359	
34937944	
34973338	
35121907	
34226163	
34465866	
34779252	
34969825	
35021053	
35042965	
35084791	
35121878	
