type	patent_id	fulfilled_date	project.project_id
patent	US-20220023445-A1	26-Jan-2022	5U01DE028233-05
patent	US-20210170055-A1	9-Jun-2021	1U01DE028233-01
patent	US-20210170055-A1	9-Jun-2021	5U01DE028233-02
patent	US-20210170055-A1	9-Jun-2021	7U01DE028233-04
patent	US-20210170055-A1	9-Jun-2021	5U01DE028233-05
patent	US-20200388029-A1	9-Dec-2020	5U24CA180924-04
patent	US-20200388029-A1	9-Dec-2020	5U24CA180924-05
patent	US-20200388029-A1	9-Dec-2020	3U24CA180924-05S1
patent	US-20200388029-A1	9-Dec-2020	3U24CA180924-05S2
patent	US-11164312-B2	1-Nov-2021	5U24CA180924-04
patent	US-11164312-B2	1-Nov-2021	5U24CA180924-05
patent	US-11164312-B2	1-Nov-2021	3U24CA180924-05S1
patent	US-11164312-B2	1-Nov-2021	3U24CA180924-05S2
patent	US-20200370133-A1	25-Nov-2020	5U24CA209851-02
patent	US-20200370133-A1	25-Nov-2020	3U24CA209851-02S1
patent	US-20200370133-A1	25-Nov-2020	5U24CA209851-03
patent	US-20200370133-A1	25-Nov-2020	3U24CA209851-03S1
patent	US-20200370133-A1	25-Nov-2020	5U24CA209851-04
patent	US-20200370133-A1	25-Nov-2020	5U24CA209851-05
patent	US-20190292602-A1	25-Sep-2019	5U24CA210999-02
patent	US-20190292602-A1	25-Sep-2019	3U24CA210999-02S1
patent	US-20190292602-A1	25-Sep-2019	5U24CA210999-03
patent	US-20190292602-A1	25-Sep-2019	5U24CA210999-04
patent	US-20190292602-A1	25-Sep-2019	5U24CA210999-05
patent	US-20190292599-A1	25-Sep-2019	1U24CA224316-01
patent	US-20210118522-A1	21-Apr-2021	1U2CCA233195-01
patent	US-20210118522-A1	21-Apr-2021	5U2CCA233195-02
patent	US-20210118522-A1	21-Apr-2021	5U2CCA233195-03
patent	US-20210118522-A1	21-Apr-2021	5U2CCA233195-04
patent	US-20210164054-A1	2-Jun-2021	1U54CA209978-01A1
patent	US-20210164054-A1	2-Jun-2021	7U54CA209978-02
patent	US-20210164054-A1	2-Jun-2021	5U54CA209978-03
patent	US-20210164054-A1	2-Jun-2021	3U54CA209978-03S1
patent	US-20210164054-A1	2-Jun-2021	5U54CA209978-04
patent	US-20210164054-A1	2-Jun-2021	5U54CA209978-05
patent	US-20210164054-A1	2-Jun-2021	5U54CA209978-06
patent	US-20210353619-A1	17-Nov-2021	1U54CA224019-01
patent	US-20210353619-A1	17-Nov-2021	4U54CA224019-02
patent	US-20210353619-A1	17-Nov-2021	5U54CA224019-03
patent	US-20210353619-A1	17-Nov-2021	5U54CA224019-04
patent	US-20210353619-A1	17-Nov-2021	3U54CA224019-04S1
patent	US-20210153484-A1	26-May-2021	1U54CA224070-01
patent	US-20210153484-A1	26-May-2021	3U54CA224070-02S1
patent	US-20210153484-A1	26-May-2021	4U54CA224070-02
patent	US-20210153484-A1	26-May-2021	3U54CA224070-02S2
patent	US-20210153484-A1	26-May-2021	3U54CA224070-02S3
patent	US-20210153484-A1	26-May-2021	5U54CA224070-03
patent	US-20210153484-A1	26-May-2021	5U54CA224070-04
patent	US-20210153484-A1	26-May-2021	3U54CA224070-04S1
patent	US-20210153484-A1	26-May-2021	3U54CA224070-04S2
patent	US-20210101952-A1	7-Apr-2021	1U54CA224070-01
patent	US-20210101952-A1	7-Apr-2021	3U54CA224070-02S1
patent	US-20210101952-A1	7-Apr-2021	4U54CA224070-02
patent	US-20210101952-A1	7-Apr-2021	3U54CA224070-02S2
patent	US-20210101952-A1	7-Apr-2021	3U54CA224070-02S3
patent	US-20210101952-A1	7-Apr-2021	5U54CA224070-03
patent	US-20210101952-A1	7-Apr-2021	5U54CA224070-04
patent	US-20210101952-A1	7-Apr-2021	3U54CA224070-04S1
patent	US-20210101952-A1	7-Apr-2021	3U54CA224070-04S2
patent	US-20170297677-A1	18-Oct-2017	1U54CA231641-01
patent	US-10486794-B2	25-Nov-2019	1U54CA231641-01
patent	US-9592899-B2	13-Mar-2017	1U54CA231641-01
patent	US-20210338579-A1	3-Nov-2021	1U54CA244719-01
